Price,Mileage,Color,Production Year,Transmission,Description
"1,500,000,000","500,000 km",سفید,1388,دنده ای,
"650,000,000","230,000 km",نقره ای,1390,دنده ای,"مدل ۹۰
دوگانه کارخانه 
یکسال بیمه
۴ حلقه لاستیک نو"
"900,000,000","250,000 km",زرد,1395,دنده ای,"تاکسی سمند lx دو گانه سوزef7
کم کار کرد بیمه تا فروردین ۱۴۰۶ سالم گردشی"
"1,385,000,000",صفر کیلومتر,سفید,1399,دنده ای,"سلام
ماشین کاملا نو هست 
از نمایندگی سال ۹۹تحویل گرفته شده تو پارکینگ بوده تا الان 
بوی صفری ماشین هنوز توش میاد 
خریدار واقعی تماس بگیرد"
0,صفر کیلومتر,سفید,1403,دنده ای,"فول موتور Ef7 دارای گارانتی وبیمه بدنه طلایی، وشخص ثالث وبدون خط وخش، کارکرد ۳۵۸ کیلومتر"
"1,100,000,000","220,000 km",سفید,1395,دنده ای,
"1,050,000,000","290,000 km",سفید,1397,دنده ای,"به نام خدا 
سمند ef7 مدل آخر ۹۷ 
بیمه تا برج ۹
کولر فول 
مانیتور با دوربین عقب 
روکش صندلی نو 
کیت مکش
"
"2,040,000,000",صفر کیلومتر,سفید,1405,دنده ای,دا رای کارت طلایی و گارانتی
"1,220,000,000","96,000 km",سفید,1398,دنده ای,"فنی بسیار تمیز در حد
لاستیک جلو تازه تعویض شده عقب ۸۰ درصد
 همه مصرفی ها و شمع و تسمه تایم و ... به موقع تعویض شده وماشین بدون هیچ صدا وداخل ماشین و موتوری و فنی در حد صفر
سند دست اول ماشین بدون هیچ ایرادی واقعا بدون مشابه
گلگیر جلو سمت راننده یک ضربه کوچیک داشته در حد یک انگشت نیاز به رنگ شدگی داشته که انجام نشده و کل ماشین بی رنگ و بدون خط و خش"
0,صفر کیلومتر,مشکی,1405,دنده ای,حواله ی موجود میباشد
"1,230,000,000","59,000 km",خاکستری,1400,دنده ای,خودرو سمند در حدصفرزیر پا عالی بدون خط و خش و بدون رنگ
"1,900,000,000",صفر کیلومتر,مشکی,1404,دنده ای,"همه اسناد مدارک آماده 
کارت سوخت.کارت ماشین.سند ماشین 
خرید حضوری اصفهان"
"2,000,000,000",صفر کیلومتر,سفید,1404,دنده ای,
"1,750,000,000","25,000 km",سفید,1403,دنده ای,
"1,770,000,000","43,000 km",سفید,1403,دنده ای,"با دورود فراوان 
سورن پلاس موتور ef7
مدل 403
کارکرد 43000
تمام فابریک دو تا کف دست صافکاری بدون رنگ 
ی خط ده سانتی روی گلگیر عقب هس 
بیمه بدنه و شخص ثالث 
دارای هدلایت نور بالا و پایین و مه‌شکن

"
"1,700,000,000","3,000 km",سفید,1404,دنده ای,تحویل برج ۱۰ سال ۱۴۰۴
"600,000,000","400,000 km",نقره ای,1386,دنده ای,"خودرو سالم فنی و بدنه عالی
نقره ای مدل۸۶."
"430,000,000","388,089 km",نقره ای,1387,دنده ای,سلام سمند رنگ نقرهایی مدل 87 دوگانه سوز شرکتی کولر سالم بخاری سالم لاستیک 70 با پراید رنگ سفید معاوضه میکنم نقد هم میشه خواهشا سوال الکی نپرسید ممنون
"1,450,000,000","18,000 km",سفید,1404,دنده ای,
"950,000,000","260,000 km",سفید,1398,دنده ای,سلام سمند lx مدل 98 مولتی پلکس کاپوت وگلگیر سمت شاگرد تعویض وشرکتی بسته شده ایربگ ها بازشدن تعویض نکردم تمامی مصرفی ها مثل دیسک وصفحه هرزگردها تسمه تایم وتسمه دینام ولنتها تعوبض شدن
"1,930,000,000",صفر کیلومتر,سفید,1405,دنده ای,"🧨خودرو پلاکدار تحویل فوری 🧨
💥شرکت تلاش خودرو ایرانیان💥
✅ مشخصات ماشین:
نقد و اقساط
✅ویژگی های خرید از تلاش خودرو ایرانیان:
- خدمات ویژه تعویض پلاک
- خرید از نمایندگی رسمی"
"800,000,000","162,000 km",سفید,1392,دنده ای,
"1,970,000,000",صفر کیلومتر,سفید,1404,دنده ای,"بزرگترین و معتبرترین شرکت و کارگزار رسمی بانک (طرف حساب بانک های دولتی)
✅ ابتدا خودرو را تحویل بگیرید سپس وجه پیش را پرداخت نمایید❗
✅ پیش پرداخت دو مرحله ای طی 7ماه
✅ شروع اولین قسط 60 روز پس از تحویل خودرو
✅ خشک
✅ بدون ضامن
✅ سند 6 دانگ بنام خریدار در رهن بانک
✅ اقساط متنوع از 12 الی 60 ماهه
✅ فروش خودروهای صفر و کارکرده (امکان معرفی خودرو توسط خود مشتری)
✅ امکان تسویه زودتر از موعد با کسر سود بانک
✅ظرفیت محدود ویژه تهران و شهرستان
☎️جهت کسب اطلاعات بیشتر تماس بگیرید"
"1,930,000,000",صفر کیلومتر,مشکی,1403,دنده ای,"بزرگترین و معتبرترین شرکت و کارگزار رسمی بانک (طرف حساب بانک های دولتی)
✅ ابتدا خودرو را تحویل بگیرید سپس وجه پیش را پرداخت نمایید❗
✅ پیش پرداخت دو مرحله ای طی 7ماه
✅ شروع اولین قسط 60 روز پس از تحویل خودرو
✅  خشک
✅ بدون ضامن
✅ سند 6 دانگ بنام خریدار در رهن بانک
✅ اقساط متنوع از 12 الی 60 ماهه
✅ فروش خودروهای صفر و کارکرده (امکان معرفی خودرو توسط خود مشتری)
✅ امکان تسویه زودتر از موعد با کسر سود بانک
✅ظرفیت محدود ویژه تهران و شهرستان
☎️جهت کسب اطلاعات بیشتر تماس بگیرید"
"1,555,000,000",صفر کیلومتر,سفید,1404,دنده ای,"***مبین خودرو ******
ظرفیت محدود تا 29 شهریور ماه
بزرگترین و معتبر ترین شرکت و کارگزار رسمی بانک (طرف حساب بانک‌های دولتی )
✔️تحویل فوری
✔️پرداخت وجه همزمان با تحویل خودرو در دفتر خانه رسمی
✔️بدون نیاز به ضامن
✔️سند ۶دانگ به نام خریدار
✔️اقساط۱۲تا ۶۰ماه بانکی
✔️شروع اولین قسط ۳ماه پس از تحویل
✔️امکان معرفی خودرو صفر و کارکرده توسط خریدار
"
"2,260,000,000",صفر کیلومتر,سفید,1404,دنده ای,"🔺️بدون کمیسیون 
🔺️خدمات پس از فروش 
🔺️گارانتی خودرو 
🔺️تائیدیه کارشناس دادگستری 
🔸️خرید مطمئن از مجموعه ی معتبر با ۱۸ سال سابقه ی فروش 
در زمینه خودروهای با اصالت 🔸️
▪️جهت مشاوره ی تخصصی با کارشناسان ماتماس بگیرید"
0,صفر کیلومتر,سفید,1404,دنده ای,"فروش خودرو کریم پور🚘
▪️مرکز خرید و فروش خودرو ایران خودرو و سایپا و بهمن موتور و کرمان موتور و...
▪️عضو رسمی اتحادیه با بیش از25سال سابقه درخشان .
▪️امکان معاوضه 
▪️تحویل فوری و امکان رویت و کارشناسی پیش از تسویه.
▪️تمامی خودرو ها دارا ی حداکثر بیمه و گارانتی و شامل70%درصد تخفیف بیمه بدنه میباشند.
▪️تمامی خودرو ها پلاک شده و سندآزاد میباشند.
▪️برای مشاوره و استعلام قیمت با کارشناسان ما در ارتباط باشید"
"730,000,000","232,000 km",سفید,1388,دنده ای,دو برگ سند بدون رنگ حتی سپرها فنی سالم بیمه ۱۱ماه بازدید
"1,700,000,000",صفر کیلومتر,سفید,1404,دنده ای,"باسلام
مدل ماشین1404
رنگ سفید
صفر کیلومتر
دریچه گاز ماشین سیمی
بیمه شخص ثالث 12 ماه"
"720,000,000","250,000 km",سرمه ای,1393,دنده ای,سمند مدل 93
"1,700,000,000",صفر کیلومتر,سفید,1404,دنده ای,کارکرد ۹۸ . ماشین خشک . تحویل دی ماه ۱۴۰۴
"1,400,000,000","49,000 km",نقره ای,1386,دنده ای,"سمند x7 کلکسیونی مشابه صفر 
بی رنگ حتی سپر ها و بدون ضربه
 رینگ اسپید لاین ایتالیا و لاستیک خارجی
کیلومتر دست نخورده به شرط کارشناسی
موتور و گیربکس پلمپ به شرط کارشناسی
 دوگانه شرکت
لطفا کاسب تماس نگیرد"
"1,930,000,000",صفر کیلومتر,آبی,1405,دنده ای,مدارک کامل_ فقط از نمایندگی تا منزل آمده است_ رنگ آبی کبود متالیک.
"2,100,000,000",صفر کیلومتر,سفید,1404,دنده ای,فروش فوری بعلت نیاز مالی و یه سورن ef7خشک ۱۴۰۴دوگانه نیز به قیمت روز بفروش میرسد
"650,000,000","290,000 km",سفید,1388,دنده ای,"سمند ال ایکس مدل ۸۸ دوگانه دستی 
کاپوت، گلگلیر و درب سمت شاگرد تعویض شده 
سرشاسی سمت شاگرد فشار داشته 
ولی ماشین نه گیج میزنه نه میکشه 
بدنه خط و خش جزئی داره
نزدیک ۲۰ تومن تازگی خرج جلوبندی کردم 
روغن تازه عوض شده
تسمه تایم ۴۰ هزارتا دیگه باید عوض بشه 
معاینه فنی تا برج ۱۱ 
بیمه تا برج ۱۲ 
کف پایی نو 
ماشین فنی سلامت تازه از مسافرت برگشتم"
"1,400,000,000","37,000 km",خاکستری,1399,دنده ای,"موتور 16 سوپاپ ef7 
در حد صفر"
"800,000,000","180,000 km",قرمز,1392,دنده ای,"دو لکه آفتاب سوختگی سقف دارد ، خراش مختصر از بدنه ، بقیه سالم و سرحال ، از سال ۹۲ تا حال ۱۸۰۰۰۰کیلومتر کارکرد دارد"
0,صفر کیلومتر,خاکستری,1405,دنده ای,"لطفاً برای استعلام قیمت روز تماس بگیرید
✅فول آپشن، بیمه شخص ثالث و گارانتی کامل
✅هزینه دفترخانه با فروشنده
✅%70تخفیف بیمه بدنه از بیمه ایران
✅ دارای پروانه کسب از اتحادیه تهران
✅دارای پروانه تخصصی مشاورین خودرو
✅عضو انجمن بزرگان فعالان خودرو با شناسه ملی و شماره ثبت
✅معاوضه با خودروی شما
✅تسویه همزمان تحویل خودرو در کل کشور
✅قبل از خرید استعلام ما را از اتحادیه بگیرید
✅امکان خرید تلفنی کل کشور 
✅ساعات کاری:
روزهای عادی 9تا19
 در جنگ و تعطیلات 9تا 13"
0,صفر کیلومتر,سفید,1405,دنده ای,"لطفاً برای استعلام قیمت روز تماس بگیرید
✅فول آپشن، بیمه شخص ثالث و گارانتی کامل
✅هزینه دفترخانه با فروشنده
✅%70تخفیف بیمه بدنه از بیمه ایران
✅ دارای پروانه کسب از اتحادیه تهران
✅دارای پروانه تخصصی مشاورین خودرو
✅دارای مجوز از قوه قضاییه
✅عضو انجمن بزرگان فعالان خودرو با شناسه ملی و شماره ثبت
✅معاوضه با خودروی شما
✅تسویه همزمان تحویل خودرو در کل کشور
✅قبل از خرید استعلام ما را از اتحادیه بگیرید
✅امکان خرید تلفنی کل کشور 
✅ساعات کاری:9:00-17:00
علی فرود با 30سال سابقه درخشان
"
0,صفر کیلومتر,سفید,1405,دنده ای,"⭕️اتو اِف (میلاد فــــرود)⭕️
دارای سابقه‌ای درخشان در میرداماد
👈مرجع تخصصی خرید و فروش کلیه خودروهاى صفر داخلى، وارداتى و مونتاژ 
❌بدون هیچ شعبه ای در تهران و ایران❌
👈 شماره ثبت (۶۲۹۶۱۰) وداراى شناسه ملى
👈۲۴ ساعت مهلت تست و کارشناسی رنگ و بدنه و فنی پس از تحویل خودرو
👈سند آزاد بهمراه یک سال بیمه شخص ثالث،گارانتی کامل شرکتی و فعال
👈امکان تعویض خوردو صفر و کارکرده با صفر
👈 ساعت کاری 9 صبح الی 20"
0,صفر کیلومتر,مشکی,1405,دنده ای,"لطفاً برای استعلام قیمت روز تماس بگیرید
✅فول آپشن، بیمه شخص ثالث و گارانتی کامل
✅هزینه دفترخانه با فروشنده
✅%70تخفیف بیمه بدنه از بیمه ایران
✅ دارای پروانه کسب از اتحادیه تهران
✅دارای پروانه تخصصی مشاورین خودرو
✅دارای مجوز از قوه قضاییه
✅عضو انجمن بزرگان فعالان خودرو با شناسه ملی و شماره ثبت
✅معاوضه با خودروی شما
✅تسویه همزمان تحویل خودرو در کل کشور
✅قبل از خرید استعلام ما را از اتحادیه بگیرید
✅امکان خرید تلفنی کل کشور 
✅ساعات کاری:9:00-17:00
علی فرود با 30سال سابقه درخشان"
0,صفر کیلومتر,سفید,1405,دنده ای,"لطفاً برای استعلام قیمت روز تماس بگیرید
✅فول آپشن، بیمه شخص ثالث و گارانتی کامل
✅هزینه دفترخانه با فروشنده
✅%70تخفیف بیمه بدنه از بیمه ایران
✅ دارای پروانه کسب از اتحادیه تهران
✅دارای پروانه تخصصی مشاورین خودرو
✅دارای مجوز از قوه قضاییه
✅عضو انجمن بزرگان فعالان خودرو با شناسه ملی و شماره ثبت
✅معاوضه با خودروی شما
✅تسویه همزمان تحویل خودرو در کل کشور
✅قبل از خرید استعلام ما را از اتحادیه بگیرید
✅امکان خرید تلفنی کل کشور 
✅ساعات کاری:9:00-17:00
علی فرود با 30سال سابقه درخشان"
"1,680,000,000",صفر کیلومتر,سفید,1404,دنده ای,"سمند سورن xu7p خشک
مدل اسفند ماه ۱۴۰۴"
"2,278,000,000",صفر کیلومتر,سفید,1404,دنده ای,"🔺️بدون کمیسیون 
🔺️خدمات پس از فروش 
🔺️گارانتی خودرو 
🔺️تائیدیه کارشناس دادگستری 
🔸️خرید مطمئن از مجموعه ی معتبر با ۱۸ سال سابقه ی فروش 
در زمینه خودروهای با اصالت 🔸️
▪️جهت مشاوره ی تخصصی با کارشناسان ماتماس بگیرید یا"
"1,795,000,000",صفر کیلومتر,سفید,1405,دنده ای,سورن پلاس xu7p مدل 1405 سفید
"625,000,000","380,000 km",سرمه ای,1387,دنده ای,"سمند Lx موتور ۱۸۰۰ Ef7 دوگانه کارخانه
ماشین کلا دوتا مالک داشته
دو ساله دست خودمه 
موتور سالم بدون حتی یکبار تعمیر یه قطره جرم هم تو موتور نمیبینی هر ۴۰۰۰ تا روغن عوض شده 
سقف و بدنه افتاب سوختگی و خط و خش داره اما وقتی میشینی داخل ماشین انگار نه انگار مدل ۸۷ هستش بدون ذره ای سرو صدا خیلی نرم و تر و تمیزه 
کاپوت و گلگیر و درب عقب سمت راننده تعویض شده چون کارت طلایی داشته مگرنه نیاز به تعویض نداشته به گفته مالک قبلی سر شاسی سمت راننده هم خوردگی داشته
ماشین هیچ هزینه ای نداره تا آخر برج ۹ هم معاینه داره هم بیمه خلاصه هیچ هزینه ای نداره فنی هم همچی میزون مرتبه کولر و بخاری هم میزونه میزونه تازه سرویس شده"
"555,000,000","426,000 km",سفید,1388,دنده ای,تمیز سرحال موتور تازه تعمیر بدون روغن سوزی و را وغن ریزی شاسی جلو سمت شاگرد رنگ شده بقیه کاملا سلامت لاستیک بالای ۹۰درصد ۲۰۵بیمه تا آخر برج ۶معاینه تا آخر برج ۸ماشین بی درد سر وسرحال فقط کافیه دور بزنی عاشق سرعتش میشی موتور تقویت شده خلاصه  
"1,730,000,000",صفر کیلومتر,سفید,1405,دنده ای,خودروی سمند سورن xu7pمدل1405 خشک
"640,000,000","400,000 km",سفید,1391,دنده ای,"سورن مدل 91 xu7
موتوری کاملا سالم داشبورد سوناتایی
دور رنگ شاسی جلو سمت راننده ظربه کوچیک خورده به لبه جدول شاسی عقب و سقف وستون بی رنگ و پلمپ بیمه بدنه داره میتونید همه معایب ظاهریش رو رایگان درست کنید"
"2,000,000,000","15,000 km",سفید,1404,دنده ای,
